"","Mun_Code","rain_total","wind_max","track_min_dist","blue_ss_frac","blue_ls_frac","red_ls_frac","orange_ls_frac","yellow_ss_frac","red_ss_frac","orange_ss_frac","yellow_ls_frac","roof_strong_wall_strong","roof_strong_wall_light","roof_strong_wall_salv","roof_light_wall_strong","roof_light_wall_light","roof_light_wall_salv","roof_salv_wall_strong","roof_salv_wall_light","roof_salv_wall_salv","Municipality","region","island_groups","wind_blue_ss","wind_yellow_ss","wind_orange_ss","wind_red_ss","rain_blue_ls","rain_yellow_ls","rain_orange_ls","rain_red_ls","Cluster"
"1","PH175101000",287.239285714286,51.2559064897042,1.07521135694684,6.18,2.64,1.17,0.03,1.43,6.12,0,0.06,46.1099512874043,8.21155184411969,0.0974251913709116,2.5330549756437,41.892832289492,1.00208768267223,0,0.0278357689631176,0.0835073068893528,"Abra De Ilog","MIMAROPA Region","Luzon",316.761502106372,73.295946280277,0,313.68614771699,758.311714285715,17.2343571428572,8.61717857142858,336.069964285715,3
"2","PH030801000",287.239285714286,51.2559064897042,1.07521135694684,40.8,0.78,0,0,0.78,40.83,0.05,0,89.8012100259291,7.43301642178047,0.118841832324978,0.248487467588591,2.18236819360415,0,0,0.0108038029386343,0.0108038029386343,"Abucay","Central Luzon","Luzon",2091.24098477993,39.9796070619693,2.56279532448521,2092.77866197462,224.046642857143,0,0,0,2
"3","PH083701000",287.239285714286,51.2559064897042,1.07521135694684,0,0.06,0.06,0,0,0,0,0,49.4433579058222,33.6392357454491,0.850007522190462,1.21859485482172,13.6452534978186,0.549119903715962,0.0300887618474499,0.0902662855423499,0.112832856927937,"Abuyog","Eastern Visayas","Visayas",0,0,0,0,17.2343571428572,0,0,17.2343571428572,1
"4","PH045601000",287.239285714286,51.2559064897042,1.07521135694684,2.77,3.53,0,0,3.53,2.67,0.1,0,68.5678073510773,12.3574144486692,0.697084917617237,1.7743979721166,15.0823827629911,0.443599493029151,0,0,0.0950570342205323,"Agdangan","CALABARZON","Luzon",141.978860976481,180.933349908656,5.12559064897042,136.85327032751,1013.95467857143,0,0,0,3
"5","PH025701000",287.239285714286,51.2559064897042,1.07521135694684,0.07,0.34,0.27,0,0.07,0,0,0.07,64.1743119266055,29.388379204893,0.0305810397553516,0.122324159021407,6.08562691131498,0,0,0.0458715596330275,0.0305810397553516,"Aglipay","Cagayan Valley","Luzon",3.58791345427929,3.58791345427929,0,0,97.6613571428572,20.10675,0,77.5546071428572,5
"6","PH015501000",287.239285714286,51.2559064897042,1.07521135694684,1.28,1.52,0.02,0,1.5,1.28,0,0,59.5631730623388,22.9637494312149,0.197178826027605,0.667374488093432,15.5922948581829,0.0758380100106173,0,0.0151676020021234,0.0758380100106173,"Agno","Ilocos Region","Luzon",65.6075603068214,76.8838597345563,0,65.6075603068214,436.603714285715,0,0,5.74478571428572,5
"7","PH041001000",287.239285714286,51.2559064897042,1.07521135694684,0.02,0.44,0,0,0.44,0,0,0.02,88.3423007942608,7.5582884960287,0.0256213169356904,0.281834486292595,3.26671790930054,0.0384319754035357,0.0128106584678452,0.0384319754035357,0.0256213169356904,"Agoncillo","CALABARZON","Luzon",1.02511812979408,22.5525988554698,0,0,126.385285714286,5.74478571428572,0,0,5
"8","PH013301000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,84.5195464040585,13.4139062966279,0.223813786929275,0.164130110414801,1.14891077290361,0.0074604595643091,0,0.0149209191286183,0.0447627573858549,"Agoo","Ilocos Region","Luzon",0,0,0,0,0,0,0,0,5
"9","PH015502000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,75.1833313933186,16.1797229658945,0.279362123152136,0.675125130950995,7.10045396345012,0.0232801769293446,0.0116400884646723,0,0.128040973111396,"Aguilar","Ilocos Region","Luzon",0,0,0,0,0,0,0,0,5
"10","PH175302000",287.239285714286,51.2559064897042,1.07521135694684,0.36,5.52,0,0,5.52,0.36,0,0,36.0381077529566,32.5229960578187,0.0657030223390276,0.821287779237845,30.3547963206308,0,0,0.0328515111695138,0,"Agutaya","MIMAROPA Region","Luzon",18.4521263362935,282.932603823167,0,18.4521263362935,1585.56085714286,0,0,0,3
"11","PH063001000",287.239285714286,51.2559064897042,1.07521135694684,0,0.23,0.23,0,0,0,0,0,43.339911198816,38.6942937016938,0.904456503864496,0.748232198651538,15.0633119552705,0.197335964479526,0.0657786548265088,0.164446637066272,0.402894260812366,"Ajuy","Western Visayas","Visayas",0,0,0,0,66.0650357142858,0,0,66.0650357142858,1
"12","PH045602000",287.239285714286,51.2559064897042,1.07521135694684,15.3,3.78,0,0,3.78,15.33,0,0,61.4862955637186,17.7733823113874,0.113026278609777,1.4693416219271,17.6886126024301,0,0,0.0282565696524441,0.0282565696524441,"Alabat","CALABARZON","Luzon",784.215369292474,193.747326531082,0,785.753046487165,1085.7645,0,0,0,3
"13","PH043401000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,83.2925170068027,12.4263038548753,0.408163265306122,0.208616780045351,3.24716553287982,0.0453514739229024,0.0181405895691609,0.0362811791383219,0.199546485260771,"Alaminos","CALABARZON","Luzon",0,0,0,0,0,0,0,0,5
"14","PH083702000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,38.6576441891573,48.8630104650248,2.56511133842159,0.613738295695963,6.9163584861122,0.771107089464159,0.0786843968840978,0.598001416319144,0.676685813203242,"Alangalang","Eastern Visayas","Visayas",0,0,0,0,0,0,0,0,4
"15","PH083703000",287.239285714286,51.2559064897042,1.07521135694684,0,0.07,0.07,0,0,0,0,0,48.2150967390317,33.4726133163775,5.0413298210555,0.563175583613407,7.31219910981924,0.590426015078572,0.245253883186484,0.862930329730221,2.8431283495322,"Albuera","Eastern Visayas","Visayas",0,0,0,0,20.10675,0,0,20.10675,4
"16","PH015504000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,76.6829074276623,16.8738192303868,0.357959630108382,0.228696430347022,4.43472208412051,0.059659938351397,0,0.0795465844685293,0.0497166152928308,"Alcala","Ilocos Region","Luzon",0,0,0,0,0,0,0,0,5
"17","PH175901000",287.239285714286,51.2559064897042,1.07521135694684,0,0.18,0.09,0.09,0,0,0,0,53.355155482815,8.5379159847245,0.409165302782324,4.63720676486634,30.0054555373704,0.436442989634479,0.245499181669394,0.709219858156028,1.30932896890344,"Alcantara","MIMAROPA Region","Luzon",0,0,0,0,51.7030714285715,0,25.8515357142857,25.8515357142857,4
"18","PH042101000",287.239285714286,51.2559064897042,1.07521135694684,0.02,0,0,0,0,0,0,0.02,90.6988607379697,6.61452133990818,0.238054752593096,0.178541064444822,1.95544975344329,0.0255058663492603,0.0510117326985206,0.0255058663492603,0.0425097772487672,"Alfonso","CALABARZON","Luzon",1.02511812979408,0,0,0,0,5.74478571428572,0,0,5
"19","PH025015000",287.239285714286,51.2559064897042,1.07521135694684,0.07,1.4,1.33,0,0.07,0,0,0.07,49.5793606281548,33.7633202467751,0.112170499158721,0.448681996634885,15.8721256309591,0.0560852495793606,0,0.112170499158721,0,"Alfonso Castaneda","Cagayan Valley","Luzon",3.58791345427929,3.58791345427929,0,0,402.135,20.10675,0,382.02825,1
"20","PH034901000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,85.2008608321377,8.08464849354376,0.186513629842181,0.416068866571019,5.52367288378766,0.0358680057388809,0.0143472022955523,0.121951219512195,0.1506456241033,"Aliaga","Central Luzon","Luzon",0,0,0,0,0,0,0,0,5
"21","PH012901000",287.239285714286,51.2559064897042,1.07521135694684,0.05,4.76,4.76,0,0,0,0,0.05,83.1186440677966,15.0508474576271,0.0677966101694915,0,0.949152542372881,0,0,0,0,"Alilem","Ilocos Region","Luzon",2.56279532448521,0,0,0,1367.259,14.3619642857143,0,1367.259,3
