"","Mun_Code","rain_total","rain_max6h","rain_max24h","wind_max","track_min_dist","ls_risk_pct","ss_risk_pct","blue_ss_frac","blue_ls_frac","red_ls_frac","orange_ls_frac","yellow_ss_frac","red_ss_frac","orange_ss_frac","yellow_ls_frac","slope_mean","elev_mean","ruggedness_sd","ruggedness_mean","slope_sd","poverty_pct","has_coast","coast_length","housing_units","roof_strong_wall_strong","roof_strong_wall_light","roof_strong_wall_salv","roof_light_wall_strong","roof_light_wall_light","roof_light_wall_salv","roof_salv_wall_strong","roof_salv_wall_light","roof_salv_wall_salv","vulnerable_groups","pantawid_benef","damage_perc","Mun_Code_2","Unnamed..0","Municipality","X10.Digit.Code","Correspondence.Code","Income.Class","Population.2020.Census.","region","island_groups","wind_blue_ss","wind_yellow_ss","wind_orange_ss","wind_red_ss","rain_blue_ls","rain_yellow_ls","rain_orange_ls","rain_red_ls"
"317","PH063019000",287.239285714286,4.59090909090909,2.16595744680851,51.2559064897042,1.07521135694684,0.06,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.96,21.62,12.23,15.79,2.66,5.63,1,16755,11102,80,2,2,2,2,2,2,2,10,2.98479792361884,23.7794991893353,NA,63019000,762,"Estancia",603019000,63019000,"2nd",53200,"Western Visayas","Visayas",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"318","PH043408000",287.239285714286,9.41944444444444,6.4404255319149,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.07,224.22,31.55,45.41,6.89,4.2,0,0,3611,80,2,2,2,2,2,2,2,10,0.705371676614216,18.2774854610911,NA,43408000,444,"Famy",403408000,43408000,"5th",16791,"CALABARZON","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"319","PH175916000",287.239285714286,9.975,5.02021276595744,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.71,62.03,21.77,34.94,4.82,7.55,1,504,1653,80,2,2,2,2,2,2,2,10,4.16427340608845,30.0665456745312,NA,175916000,585,"Ferrol",1705916000,175916000,"6th",8005,"MIMAROPA Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"320","PH035406000",287.239285714286,9.13472222222222,6.35035460992908,51.2559064897042,1.07521135694684,0.01,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.57,58.95,19.51,14.26,4,1.78,0,0,28196,80,2,2,2,2,2,2,2,10,0.72385609165648,7.78833877145694,NA,35406000,343,"Floridablanca",305406000,35406000,"1st",135542,"Central Luzon","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"321","PH034907000",287.239285714286,21.4861111111111,14.4115839243499,51.2559064897042,1.07521135694684,1.28,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,16.39,489.58,56.7,83.56,11.37,5.62,0,0,8484,80,2,2,2,2,2,2,2,10,1.43289150156855,22.4893917963225,NA,34907000,317,"Gabaldon",304907000,34907000,"4th",38958,"Central Luzon","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"322","PH051713000",287.239285714286,8.7625,7.25744680851064,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.46,2.52,1.63,3.5,0.29,5.71,0,0,2206,80,2,2,2,2,2,2,2,10,2.26425146510389,27.7878513145966,NA,51713000,626,"Gainza",501713000,51713000,"5th",11584,"Bicol Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"323","PH084807000",287.239285714286,18.1583333333333,7.42851063829787,51.2559064897042,1.07521135694684,2.01,2.81,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.22,45.48,18.26,21.79,3.99,9,1,42001,5148,80,2,2,2,2,2,2,2,10,3.56003572795713,38.7529137529138,24.3978243978244,84807000,995,"Gamay",804807000,84807000,"4th",23367,"Eastern Visayas","Visayas",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"324","PH086007000",287.239285714286,15.3944444444444,5.56004728132388,51.2559064897042,1.07521135694684,0.15,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.12,102.72,26.62,43.37,5.81,8.37,1,10402,7107,80,2,2,2,2,2,2,2,10,4.36487192890748,38.8630927254819,NA,86007000,1017,"Gandara",806007000,86007000,"2nd",35242,"Eastern Visayas","Visayas",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"325","PH051714000",287.239285714286,6.71,3.599375,51.2559064897042,1.07521135694684,4.17,4.71,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.7,189.58,32.84,52.88,7.39,9.06,1,9083,5094,80,2,2,2,2,2,2,2,10,4.8870788596816,46.1523360816647,NA,51714000,627,"Garchitorena",501714000,51714000,"4th",29436,"Bicol Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"326","PH174003000",287.239285714286,18.2708333333333,8.38882978723404,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,11.46,177.8,39.89,59.14,8.44,5.19,1,16669,7997,80,2,2,2,2,2,2,2,10,2.16492477317101,21.6581217956734,0.312617231461798,174003000,518,"Gasan",1704003000,174003000,"3rd",36197,"MIMAROPA Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"327","PH042123000",287.239285714286,11.9354166666667,7.47234042553191,51.2559064897042,1.07521135694684,0,0.02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.07,121.66,9.41,17.77,1.93,1.74,0,0,33914,80,2,2,2,2,2,2,2,10,0.542080532154206,7.63106681606416,NA,42123000,439,"Gen. Mariano Alvarez",402123000,42123000,"1st",172433,"CALABARZON","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"328","PH042107000",287.239285714286,14.8020833333333,8.6654255319149,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.36,224.92,12.54,19.29,2.44,2.55,0,0,4365,80,2,2,2,2,2,2,2,10,0.454545454545454,12.2107674684994,NA,42107000,427,"General Emilio Aguinaldo",402107000,42107000,"5th",23973,"CALABARZON","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"329","PH045616000",287.239285714286,19.29,11.6451063829787,51.2559064897042,1.07521135694684,1.26,7.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.43,61.03,17.75,24.32,3.79,7.54,1,18114,5666,80,2,2,2,2,2,2,2,10,1.75133992602099,33.3215672432051,NA,45616000,473,"General Luna",405616000,45616000,"4th",24804,"CALABARZON","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"330","PH166710000",287.239285714286,8.32833333333333,3.8668085106383,51.2559064897042,1.07521135694684,0.31,14.58,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.73,21.27,20.14,22.63,3.82,9.44,1,32140,3837,80,2,2,2,2,2,2,2,10,5.19945143402302,39.5100338806359,NA,166710000,1331,"General Luna",1606710000,166710000,"5th",22853,"Caraga","Mindanao",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"331","PH082607000",287.239285714286,3.65416666666667,1.83475177304964,51.2559064897042,1.07521135694684,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.72,156.79,25.41,44.79,5.72,7.63,1,12612,2965,80,2,2,2,2,2,2,2,10,5.73883161512027,35.3456998313659,NA,82607000,932,"General Macarthur",802607000,82607000,"5th*",14411,"Eastern Visayas","Visayas",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"332","PH034909000",287.239285714286,19.8509090909091,14.3897872340426,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.59,55.94,2.44,3.97,0.51,4.35,0,0,9320,80,2,2,2,2,2,2,2,10,1.2603226425965,18.6158798283262,NA,34909000,318,"General Mamerto Natividad",304909000,34909000,"3rd",44311,"Central Luzon","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"333","PH045617000",287.239285714286,9.09404761904762,7.0242147922999,51.2559064897042,1.07521135694684,4.44,4.73,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,17.68,447.52,43.2,89.02,9.23,7.3,1,74904,6357,80,2,2,2,2,2,2,2,10,1.58222521461034,34.0097530281579,NA,45617000,474,"General Nakar",405617000,45617000,"1st",34225,"CALABARZON","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"334","PH034910000",287.239285714286,18.5660256410256,12.075286415712,51.2559064897042,1.07521135694684,0.41,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,12.27,372.5,42.38,62.23,9.03,3.26,0,0,10305,80,2,2,2,2,2,2,2,10,0.929698109265643,14.7113051916545,NA,34910000,319,"General Tinio",304910000,34910000,"1st",55925,"Central Luzon","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"335","PH036906000",287.239285714286,15.2958333333333,9.74503546099291,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.17,35.82,5.57,7.19,1.23,3.34,0,0,21157,80,2,2,2,2,2,2,2,10,1.15387691217969,13.3241953017914,NA,36906000,363,"Gerona",306906000,36906000,"1st",94485,"Central Luzon","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"336","PH071226000",287.239285714286,0.648611111111111,0.388652482269503,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.17,50.77,18.58,23.08,3.96,8.97,1,1228,6423,80,2,2,2,2,2,2,2,10,3.92182199967695,40.91546006539,NA,71226000,861,"Getafe",701226000,71226000,"3rd",33422,"Central Visayas","Visayas",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
