"","rain_total","wind_max","track_min_dist","ls_risk_pct","ss_risk_pct","blue_ss_frac","blue_ls_frac","red_ls_frac","orange_ls_frac","yellow_ss_frac","red_ss_frac","orange_ss_frac","yellow_ls_frac","slope_mean","elev_mean","ruggedness_sd","ruggedness_mean","slope_sd","has_coast","coast_length","roof_strong_wall_strong","roof_strong_wall_light","roof_strong_wall_salv","roof_light_wall_strong","roof_light_wall_light","roof_light_wall_salv","roof_salv_wall_strong","roof_salv_wall_light","roof_salv_wall_salv","damage_perc","region","island_groups","damage_binary","wind_blue_ss","wind_yellow_ss","wind_orange_ss","wind_red_ss","rain_blue_ss","rain_yellow_ss","rain_orange_ss","rain_red_ss"
"44",230.5,67.3445361599458,8.36753910130728,6.14,2.5,2.5,6.14,1.14,0,5,2.5,0,0,11.81,149.84,34.17,57.59,7.76,1,41152,55.4793004206332,18.7292450741643,0.420633163604162,4.25060881115785,19.2162940004428,0.420633163604162,0.0664157626743413,0.0885543502324551,0.221385875581138,33.0529112242639,"Bicol Region","Luzon",1,168.361340399865,336.722680799729,0,168.361340399865,413.495452022067,0,0,76.7727712223382
"45",228.1375,40.2096094229638,54.4914937477849,1.06,4.53,4.53,1.06,0,0,1.06,4.53,0,0,5.74,69.19,29.3,30.32,6.4,1,32407,29.9684542586751,22.6077812828601,0.0788643533123028,2.70767613038906,41.9821240799159,0.210304942166141,0.0262881177707676,1.97160883280757,0.315457413249211,26.6824395373291,"Eastern Visayas","Visayas",1,182.149530686026,42.6221859883416,0,182.149530686026,42.6221859883416,0,0,0
"46",290.033333333333,22.9970245068115,115.048489300884,0.53,0,0,0.53,0,0,0.53,0,0,0,3.72,65.23,20.18,19.24,4.36,1,9317,43.2576769025367,9.07877169559413,0.0890075656430796,6.2379468921525,40.6022845275182,0.200267022696929,0.0074172971369233,0.0148345942738466,0.0445037828215398,11.4671413736834,"Bicol Region","Luzon",1,0,12.1884229886101,0,0,12.1884229886101,0,0,0
"47",172.2375,73.1621603729418,0.45642662065712,0,0,0,0,0,0,0,0,0,0,1.61,19.64,6.42,10.29,1.26,0,0,54.0932642487047,41.4378238341969,0.479274611398964,0.207253886010363,3.01813471502591,0.0129533678756476,0.0647668393782383,0.103626943005181,0.155440414507772,62.3704663212435,"Western Visayas","Visayas",1,0,0,0,0,0,0,0,0
"48",175.207142857143,75.8272059894189,2.62127917400039,0,0,0,0,0,0,0,0,0,0,7.31,96.66,30.51,37.94,6.57,0,0,44.4997295835587,50.6435911303407,0.627366143861547,0.129799891833423,3.2341806381828,0.0648999459167117,0.0216333153055705,0.0432666306111411,0.0865332612222823,43.6884802595998,"Western Visayas","Visayas",1,0,0,0,0,0,0,0,0
"49",166.266666666667,56.2135239081084,2.43503634044183,0.67,1.07,1.07,0.67,0.02,0,0.66,1.07,0,0,3.85,207.28,37.25,20.01,6.96,1,21443,79.0425469655294,17.2938491250658,0.172645871130099,0.198981681980453,2.55749985368994,0.0204834084391642,0.026335810850354,0.0409668168783285,0.362848949493767,25.0599871247147,"CALABARZON","Luzon",1,60.148470581676,37.1009257793515,0,60.148470581676,37.6630610184326,0,0,1.12427047816217
"50",406.791666666667,54.0711059283384,13.6625462451622,0,0,0,0,0,0,0,0,0,0,7.97,203.51,27.14,41.7,5.73,1,34647,42.7297056199822,41.3321439191198,1.78412132024978,0.743383883437407,12.1320249776985,0.297353553374963,0,0.178412132024978,0.624442462087422,30.7166220636337,"Eastern Visayas","Visayas",1,0,0,0,0,0,0,0,0
"51",184.4,49.697240737792,5.92636829867421,0,0,0,0,0,0,0,0,0,0,0.58,21.28,2.17,4.31,0.39,0,0,84.1836154982388,9.72616748096807,0.136348142256562,0.346551528235428,5.02215657311669,0.028405862970117,0.028405862970117,0.119304624474491,0.142029314850585,11.9418247926372,"Central Luzon","Luzon",1,0,0,0,0,0,0,0,0
"52",460.733333333333,52.1653724910356,25.1355344593461,0.05,0,0,0.05,0.05,0,0,0,0,0,3.88,42.36,35.28,20.51,7.28,1,6997,43.0038352096994,20.3142397624644,1.16293455400223,1.17530619819374,31.0775702090808,0.767041939873809,0.0371149325745391,0.420635902511444,1.64542867747124,25.10206606458,"Western Visayas","Visayas",1,0,0,0,0,2.60826862455178,0,0,2.60826862455178
"53",445.01,57.5686607733428,27.9919096695845,0,0,0,0,0,0,0,0,0,0,2.73,41.67,10.49,14.31,2.35,1,62572,34.2935948513638,21.207477781183,0.98069261415875,2.6662580447441,38.7680049034631,0.796812749003984,0.122586576769844,0.367759730309531,0.33711308611707,38.8599448360405,"Eastern Visayas","Visayas",1,0,0,0,0,0,0,0,0
"54",141.55,58.0525694540947,26.8346352670345,0,0,0,0,0,0,0,0,0,0,16.88,372.9,54.94,88.57,11.07,1,10301,40.3936742934051,50.1177658142665,0.605652759084791,0.269179004037685,7.4528936742934,0.201884253028264,0,0.218707940780619,0.25235531628533,23.7886944818304,"Western Visayas","Visayas",1,0,0,0,0,0,0,0,0
"55",142.1625,85.940538424478,23.4273258820485,0,0,0,0,0,0,0,0,0,0,7.16,62.43,19.22,36.34,4.41,1,41540,27.1782964682879,54.0999633386289,2.87180740559697,0.329952340217524,9.91079066357082,0.733227422705609,0.109984113405841,1.71086398631309,1.51533667359159,51.6192105584749,"Eastern Visayas","Visayas",1,0,0,0,0,0,0,0,0
"56",359.186666666666,53.2405732776727,23.2408407847604,0.03,0,0,0.02,0.03,0,0,0,0,0,9.04,226.06,28.69,46.83,6.32,1,63532,49.9933563646027,37.3438745681637,0.77066170608557,0.744087164496412,10.1381876162636,0.33218176986447,0.0930108955620515,0.265745415891576,0.199309061918682,27.6109487111347,"Eastern Visayas","Visayas",1,0,0,0,0,1.06481146555345,0,0,1.59721719833018
"57",157.875,67.279604053841,19.2961256383014,0.04,0.12,0.12,0.04,0.04,0,0,0,0,0.12,6.2,112.17,22.13,34.55,4.59,1,17672,39.0241343126967,53.8614900314795,0.902413431269675,0.0944386149003148,5.02623294858342,0.0944386149003148,0.0209863588667366,0.0314795383001049,0.146904512067156,27.3452256033578,"Central Visayas","Visayas",1,8.07355248646092,0,0,0,2.69118416215364,8.07355248646092,0,2.69118416215364
