"","Mun_Code","rain_total","rain_max6h","rain_max24h","wind_max","track_min_dist","ls_risk_pct","ss_risk_pct","blue_ss_frac","blue_ls_frac","red_ls_frac","orange_ls_frac","yellow_ss_frac","red_ss_frac","orange_ss_frac","yellow_ls_frac","slope_mean","elev_mean","ruggedness_sd","ruggedness_mean","slope_sd","poverty_pct","has_coast","coast_length","housing_units","roof_strong_wall_strong","roof_strong_wall_light","roof_strong_wall_salv","roof_light_wall_strong","roof_light_wall_light","roof_light_wall_salv","roof_salv_wall_strong","roof_salv_wall_light","roof_salv_wall_salv","vulnerable_groups","pantawid_benef","damage_perc","Mun_Code_2","Unnamed..0","Municipality","X10.Digit.Code","Correspondence.Code","Income.Class","Population.2020.Census.","region","island_groups","wind_blue_ss","wind_yellow_ss","wind_orange_ss","wind_red_ss","rain_blue_ls","rain_yellow_ls","rain_orange_ls","rain_red_ls"
"1200","PH124718000",287.239285714286,8.2875,4.69645390070922,51.2559064897042,1.07521135694684,0.78,0.08,0,0,0,0,0,0,0,0,10.24,616.42,34.65,51.78,7.43,6.78,0,0,10656,19.6602852852853,59.7316066066066,0.347222222222222,0.0844594594594594,19.1910660660661,0.197072072072072,0,0.0281531531531531,0.0093843843843843,2.61673716513229,46.3494744744745,NA,124718000,1273,"Arakan",1204718000,124718000,"1st",50558,"SOCCSKSARGEN","Mindanao",0,0,0,0,0,0,0,0
"1201","PH112301000",287.239285714286,16.8666666666667,6.87173252279635,51.2559064897042,1.07521135694684,0.02,0.04,0,0,0,0,0,0,0,0,3.26,72.11,21.26,18.06,4.48,11.18,0,0,13700,37.3576642335766,46.1970802919708,0.0437956204379562,0.291970802919708,14.8540145985401,0.0145985401459854,0,0.138686131386861,0.0510948905109489,1.92845824483328,45.7664233576642,0.0072992700729927,112301000,1214,"Asuncion",1102301000,112301000,"1st",61893,"Davao Region","Mindanao",0,0,0,0,0,0,0,0
"1202","PH097302000",287.239285714286,3.94,2.02978723404255,51.2559064897042,1.07521135694684,0.33,2.01,0,0,0,0,0,0,0,0,5.52,175.99,24.39,29.47,5.27,8.08,1,11044,10980,37.2859744990892,35.1457194899818,0.0728597449908925,0.510018214936248,26.7304189435337,0.081967213114754,0,0.0455373406193078,0.0637522768670309,2.68939020786129,35.5009107468124,NA,97302000,1088,"Aurora",907302000,97302000,"2nd",52995,"Zamboanga Peninsula","Mindanao",0,0,0,0,0,0,0,0
"1203","PH103501000",287.239285714286,4.92777777777778,2.36950354609929,51.2559064897042,1.07521135694684,6.7,0.42,0,0,0,0,0,0,0,0,4.33,168.33,17.13,22.6,3.37,7.61,1,20504,5104,28.8205329153605,53.8597178683385,0.0195924764890282,0.21551724137931,16.634012539185,0.0391849529780564,0,0.195924764890282,0.156739811912226,4.99696101415299,32.2884012539185,0.176332288401254,103501000,1155,"Bacolod",1003501000,103501000,"4th",24367,"Northern Mindanao","Mindanao",0,0,0,0,0,0,0,0
"1204","PH153601000",287.239285714286,6.74722222222222,3.22269503546099,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,0,0,17.54,1300.59,53.16,85.75,10.36,4.88,1,5131,2087,39.3387637757547,49.544801149976,0.0479156684235745,2.97077144226162,7.57067561092477,0,0,0,0,2.6918094141356,46.8136080498323,0.335409678965021,153601000,1380,"Bacolod-Kalawi",1903601000,153601000,"3rd",23129,"ARMM","Mindanao",0,0,0,0,0,0,0,0
"1205","PH097226000",287.239285714286,3.15833333333333,1.45592705167173,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,0,0,12.68,459.1,29.92,62.61,6.88,12.47,1,14690,5552,21.1995677233429,41.5706051873199,0.10806916426513,0.972622478386167,34.7082132564842,0.0360230547550432,0,0.0180115273775216,0,5.70153693604363,55.007204610951,NA,97226000,1086,"Leon T. Postigo",907226000,97226000,"4th",27639,"Zamboanga Peninsula","Mindanao",0,0,0,0,0,0,0,0
"1206","PH112501000",287.239285714286,13.8416666666667,6.26367781155015,51.2559064897042,1.07521135694684,3.47,5.01,0,0,0,0,0,0,0,0,11.87,499.96,46.4,60.68,9.07,10.02,1,77208,13259,44.7620484199412,46.504261256505,0.724036503507052,0.173467078965231,6.3579455464213,0.165925032053699,0.0377102345576589,0.346934157930462,0.656158081303266,3.13472377802671,40.6968851346255,52.0401236895693,112501000,1231,"Baganga",1102501000,112501000,"1st",58714,"Davao Region","Mindanao",0,0,0,0,0,0,0,0
"1207","PH126501000",287.239285714286,2.43402777777778,1.27677304964539,51.2559064897042,1.07521135694684,0.49,0.03,0,0,0,0,0,0,0,0,8.66,601.41,40.74,44.3,8.53,6.16,0,0,15385,31.9337016574586,47.8193045173871,0.0194995125121871,0.454988625284368,19.2525186870328,0,0,0.0194995125121871,0.0194995125121871,2.20098119622433,25.8173545661358,NA,126501000,1284,"Bagumbayan",1206501000,126501000,"1st",68947,"SOCCSKSARGEN","Mindanao",0,0,0,0,0,0,0,0
"1208","PH153602000",287.239285714286,6.99166666666667,3.49521276595745,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,0,0,2.87,153.17,9,13.77,2.14,13.21,1,11200,4685,41.0458911419424,52.5080042689434,0.0213447171824973,0.512273212379936,5.78441835645678,0,0.0213447171824973,0.064034151547492,0.0426894343649946,4.4371527648309,67.982924226254,NA,153602000,1381,"Balabagan",1903602000,153602000,"4th*",29863,"ARMM","Mindanao",0,0,0,0,0,0,0,0
"1209","PH104202000",287.239285714286,3.84583333333333,1.94148936170213,51.2559064897042,1.07521135694684,3.99,0.5,0,0,0,0,0,0,0,0,1.95,26.4,10.62,11.34,2.14,5.83,1,42480,3841,26.2692007289768,23.3532934131736,0.260348867482426,2.23900026034887,47.4876334287946,0.208279093985941,0,0.0520697734964853,0,7.35431780950152,24.3165842228586,0.156209320489456,104202000,1178,"Baliangao",1004202000,104202000,"5th",18433,"Northern Mindanao","Mindanao",0,0,0,0,0,0,0,0
